ID_obra,URL_img,Motivo
HF00825/074,https://content3.cdnprado.net/imagenes/Documentos/imgsem/8d/8dce/8dceda08-50c6-4c61-8582-1d14ac1a3cbc/eca107d4-5c48-4621-8d6f-9890c26dcaf3_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/074.jpg.part'
HF00825/075,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ec/eca8/eca8ffc1-1e16-4e04-a46a-99efcebdd9b7/af4c073b-2b91-4775-a1c2-4bb974e97fc9_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/075.jpg.part'
HF00825/076,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6ad4/6ad4f7c5-ccd3-4b45-bf25-a6089798255c/57a996c0-8451-490b-b438-4935cd5db591_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/076.jpg.part'
HF00825/077,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1a/1a12/1a12600e-979a-4f93-9831-fac3157cef08/eddbcd87-197a-476c-8ed7-724796992182_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/077.jpg.part'
HF00825/078,https://content3.cdnprado.net/imagenes/Documentos/imgsem/bc/bc84/bc8459ab-3eca-442a-ab72-5eb4d4bb077d/e0e8a90a-d571-41bf-a30c-6f70bb927f5b_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/078.jpg.part'
HF00825/079,https://content3.cdnprado.net/imagenes/Documentos/imgsem/29/298f/298f8d08-22dd-44d6-b15a-7687ab6fb47d/53ccde1c-fcd6-4389-8af6-ea27aa1f832a_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/079.jpg.part'
HF00825/080,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ab/ab2b/ab2b98e6-93a5-4580-a778-225cb29826bc/8e1bb23a-63b8-45cd-8d1e-683a17a24110_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/080.jpg.part'
HF00825/081,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1e/1e1e/1e1e48e4-ac55-4d23-b408-ca0e8c2ba0f7/34e8e227-d6cd-4e01-a346-da656e93c660_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/081.jpg.part'
HF00825/082,https://content3.cdnprado.net/imagenes/Documentos/imgsem/92/92ef/92efd05c-0cae-4081-b294-ac01d0981a7f/a69a6046-e627-4e3d-9f56-03a70128d0ec_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/082.jpg.part'
HF00825/083,https://content3.cdnprado.net/imagenes/Documentos/imgsem/26/267f/267f5857-ec8a-424e-9ad3-510364030ee8/0a40a01e-3f07-4be4-b260-06461161d836_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/083.jpg.part'
HF00825/084,https://content3.cdnprado.net/imagenes/Documentos/imgsem/42/429d/429dbf9c-31cc-48ac-ba31-94144cb1062c/db9c9ccf-0a86-4107-b20d-39fd994c0278_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/084.jpg.part'
HF00825/085,https://content3.cdnprado.net/imagenes/Documentos/imgsem/68/68de/68de2685-808e-4b57-b2fe-5bdd555dce1b/07b3c071-c083-42a3-9123-c0327794991b_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/085.jpg.part'
HF00825/086,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed24/ed240ee0-6194-4c26-94ad-2c77ae79d2f6/959c0219-9442-4f4d-91e2-dce622774421_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/086.jpg.part'
HF00825/087,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1f/1f8b/1f8b7da6-c042-4340-9f0b-f05335ee61bc/3b62ad1c-2757-4e1b-8b2e-966655972b21_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/087.jpg.part'
HF00825/088,https://content3.cdnprado.net/imagenes/Documentos/imgsem/0b/0bfb/0bfb81da-41a3-4d6d-9e67-2c31fddfc528/7165942b-d82a-4e9c-95dc-aa713377d9e2_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/088.jpg.part'
HF00825/089,https://content3.cdnprado.net/imagenes/Documentos/imgsem/78/78ef/78ef8d22-f95e-45f1-9480-ebdebe02105d/d631b59e-878d-472d-bfb2-4b18fd3461b4_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/089.jpg.part'
