ID_obra,URL_obra,URL_img
HF00045,https://www.museodelprado.es/coleccion/obra-de-arte/alegorias-de-la-musica-en-espaa-y-la-musica-en/a920b81b-9ba9-46dd-9fa7-6b48dc4ab791,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a9/a920/a920b81b-9ba9-46dd-9fa7-6b48dc4ab791/43c184f9-d998-41d6-bca7-ade5bc4fc13b_832.jpg
HF00045/001,NA,NA
HF00045/002,NA,NA
HF00046,https://www.museodelprado.es/coleccion/obra-de-arte/alegorias-de-la-musica-en-grecia-y-la-musica-en/f26853a1-62f4-4476-ae04-e3cd01eb2d4c,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f2/f268/f26853a1-62f4-4476-ae04-e3cd01eb2d4c/63afd179-e794-442d-b8b6-44862fc80fe5_832.jpg
HF00046/001,NA,NA
HF00046/002,NA,NA
HF00047,https://www.museodelprado.es/coleccion/obra-de-arte/alegorias-de-la-musica-en-persia-y-de-la-musica/11b0cca3-e2b7-47db-ad8c-fce37c2d286c,https://content3.cdnprado.net/imagenes/Documentos/imgsem/11/11b0/11b0cca3-e2b7-47db-ad8c-fce37c2d286c/f7db8eee-dce1-4df8-b287-7a618db629c7_832.jpg
HF00047/001,NA,NA
HF00047/002,NA,NA
HF00048,https://www.museodelprado.es/coleccion/obra-de-arte/alegorias-de-la-musica-en-italia-y-de-la-musica/25e4eb0a-5cd4-4ab4-a8fa-361a6296adce,https://content3.cdnprado.net/imagenes/Documentos/imgsem/25/25e4/25e4eb0a-5cd4-4ab4-a8fa-361a6296adce/cb1d59cc-109f-4284-b824-e3e5e270d9bc_832.jpg
HF00048/001,NA,NA
HF00048/002,NA,NA
HF00049,https://www.museodelprado.es/coleccion/obra-de-arte/las-musas-clio-y-urania/6df0dd07-e5ae-4153-9376-a01f353adbae,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6d/6df0/6df0dd07-e5ae-4153-9376-a01f353adbae/f0143205-d891-4d8d-9671-9ff16eb4c53b_832.jpg
HF00049/001,NA,NA
HF00049/002,NA,NA
HF00050,https://www.museodelprado.es/coleccion/obra-de-arte/las-musas-melpomene-y-erato/ff4d4e41-3ad0-4f4a-be7b-e8c8398239e5,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ff/ff4d/ff4d4e41-3ad0-4f4a-be7b-e8c8398239e5/933d4f6f-f550-4e2c-a95d-98f63f37a164_832.jpg
HF00050/001,NA,NA
HF00050/002,NA,NA
HF00051,https://www.museodelprado.es/coleccion/obra-de-arte/las-musas-talia-y-euterpe/60567a7f-7dc2-495b-ad23-141a49ab9b21,https://content3.cdnprado.net/imagenes/Documentos/imgsem/60/6056/60567a7f-7dc2-495b-ad23-141a49ab9b21/4de519bc-a62b-4846-9a1f-cee5500021dc_832.jpg
HF00051/001,NA,NA
HF00051/002,NA,NA
HF00052,https://www.museodelprado.es/coleccion/obra-de-arte/las-musas-caliope-y-terpsicore/3566b7d2-6dbd-4437-9141-4fce71d96038,https://content3.cdnprado.net/imagenes/Documentos/imgsem/35/3566/3566b7d2-6dbd-4437-9141-4fce71d96038/7572d183-96e0-4718-8463-5dce79889e7b_832.jpg
HF00052/001,NA,NA
HF00052/002,NA,NA
HF00053,https://www.museodelprado.es/coleccion/obra-de-arte/la-tragedia/a7ead222-9e23-442e-9b09-048945858480,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a7/a7ea/a7ead222-9e23-442e-9b09-048945858480/bc17c0ac-c99a-4540-b56d-60da5974e4cf_832.jpg
HF00054,https://www.museodelprado.es/coleccion/obra-de-arte/la-comedia/b8363f74-b120-4780-b81f-eef395abdda8,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b8/b836/b8363f74-b120-4780-b81f-eef395abdda8/6ff4da3a-577b-45b7-8f5c-d0bb0a28d62d_832.jpg
HF00055,https://www.museodelprado.es/coleccion/obra-de-arte/el-sueo-de-santa-cecilia/b5ce94b5-d592-4536-b052-0efa00b317a0,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b5/b5ce/b5ce94b5-d592-4536-b052-0efa00b317a0/48209aca-5458-40ae-b7f4-b3cc7ad789f7_832.jpg
